"","X13_S84_L002","X14_S85_L002","X15_S86_L002","X16_S87_L002","X17_S88_L002","X18_S89_L002","X19_S90_L002","X2_S73_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X27_S98_L002","X29_S100_L002","X31_S102_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X4_S75_L002","X41_S112_L002","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X1_S1_L001_reseq","X10_S10_L001_reseq","X11_S11_L001_reseq","X12_S12_L001_reseq","X13_S13_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X16_S16_L001_reseq","X17_S17_L001_reseq","X2_S2_L001_reseq","X3_S3_L001_reseq","X4_S4_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq"
"ASV_88",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,58,2,2,31,103,0,0
"ASV_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,40,28,0,0,0,0,0,0,0,0,0,0,0,44,66
"ASV_91",0,0,0,0,0,0,0,65,0,0,0,0,72,50,44,0,0,0,0,0,49,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,42,81,123,23,12,0,0
"ASV_92",0,0,0,0,0,0,39,0,7,0,0,0,0,0,0,0,0,0,0,0,0,29,69,161,43,0,0,0,0,0,0,0,25,66,101,0,0,0,0,0,0,0,0
"ASV_93",0,0,0,0,0,0,32,0,8,0,0,0,16,0,0,0,0,0,3,0,7,28,53,65,33,20,0,2,0,0,0,1,27,58,55,0,3,0,1,0,0,0,0
"ASV_94",0,0,0,0,0,0,0,112,0,0,0,0,96,66,74,0,0,0,0,0,100,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,37,52,71,34,32,1,1
"ASV_95",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,86,62,0,0,0,0,0,0,0,0,3,0,64,45,0,0,0,0,0,2,0,0,0,1,0
"ASV_97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,24,0,0,49,18,0,0
"ASV_99",0,0,0,0,0,0,41,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,40,57,68,64,67,0,0,4,2,3,26,30,67,0,0,0,0,0,0,0,0
"ASV_100",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,7,14,58,31,0,0,0,3,0,0,0,0,0,1,5
"ASV_101",0,0,0,9,9,21,23,0,33,44,56,19,0,0,0,0,0,0,0,16,0,0,0,0,0,27,25,7,0,1,16,8,2,3,15,29,13,5,0,7,5,0,0
"ASV_102",0,0,0,0,0,0,0,0,0,0,0,0,0,63,53,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,8,48,53,14,55,16,2
"ASV_103",0,0,0,0,0,0,0,18,0,0,0,0,25,34,35,36,0,25,0,0,12,0,0,0,0,0,0,3,20,13,5,11,0,0,3,0,10,33,23,15,20,14,20
"ASV_105",0,0,0,0,0,7,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,46,40,24,0,0,0,0,0,0,0,33,67,71,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,2,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,78,34,14,0,0,0,0,0,0,0,39,49,38,0,0,0,0,0,0,0,0
"ASV_108",0,0,0,0,0,0,0,0,0,0,0,0,0,52,74,0,0,0,0,0,43,0,0,0,0,0,0,28,14,5,0,0,0,0,0,0,16,45,38,33,17,6,10
"ASV_109",0,0,0,0,0,0,0,84,0,0,0,0,128,63,81,0,0,0,0,0,94,0,0,0,0,0,0,64,6,0,0,0,0,0,0,0,26,37,30,33,13,3,1
"ASV_111",0,0,0,0,0,0,0,32,0,0,0,0,10,18,0,7,0,9,0,0,27,0,0,0,0,0,0,12,37,15,4,4,0,0,1,0,12,10,9,9,14,9,19
"ASV_112",0,0,2,0,0,0,0,12,0,0,0,0,23,45,35,0,0,0,0,5,23,0,0,0,0,0,0,7,5,2,6,2,0,0,0,0,7,35,26,18,18,0,0
"ASV_113",7,9,14,6,0,0,0,0,0,0,3,0,0,0,0,32,9,22,25,21,0,0,0,0,0,0,9,0,21,13,27,33,0,0,1,7,0,0,0,0,0,8,17
"ASV_114",0,0,0,0,0,60,0,0,0,7,0,0,11,0,0,0,0,0,0,6,0,47,30,46,0,0,0,2,1,3,7,1,40,27,11,0,3,9,3,0,1,1,1
"ASV_116",0,0,0,0,0,0,49,0,9,0,0,0,0,0,0,0,0,0,0,0,0,34,68,93,40,0,0,0,0,0,0,0,37,79,40,0,0,0,0,0,0,0,0
"ASV_117",0,0,0,0,254,61,0,0,0,10,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,142,0,0,0,0,0,0,0
"ASV_118",3,5,3,8,0,0,0,0,0,1,0,0,0,0,0,63,81,55,26,50,0,0,0,0,15,32,24,0,15,8,30,28,0,0,10,2,0,0,0,0,0,3,23
"ASV_119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,0,0,0,0,0,0,0,0,0,3,24,17,9,20,0,0,0,0,6,5,13,0,1,27,23
"ASV_120",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,28,41,0,0,0,0,0,0,0,0,97,53,1,0,0,0,0,0,0,0,0
"ASV_122",0,0,0,0,0,1,0,0,0,11,2,0,12,15,0,0,0,0,0,0,0,32,14,17,19,0,8,6,2,1,2,1,29,15,6,0,3,8,13,1,1,2,0
"ASV_125",0,0,0,0,6,4,45,0,14,0,0,0,0,0,0,0,0,0,0,0,0,31,82,162,24,0,0,0,0,0,0,0,26,67,41,0,0,0,0,0,0,0,0
