	1_S1_L001	10_S10_L001	11_S11_L001	12_S12_L001	13_S13_L001	14_S14_L001	15_S15_L001	16_S16_L001	17_S17_L001	2_S2_L001	3_S3_L001	4_S4_L001	5_S5_L001	6_S6_L001	8_S8_L001	9_S9_L001	1_S72_L002	10_S81_L002	11_S82_L002	12_S83_L002	13_S84_L002	14_S85_L002	15_S86_L002	16_S87_L002	17_S88_L002	18_S89_L002	19_S90_L002	2_S73_L002	20_S91_L002	21_S92_L002	22_S93_L002	23_S94_L002	24_S95_L002	25_S96_L002	26_S97_L002	27_S98_L002	28_S99_L002	29_S100_L002	3_S74_L002	30_S101_L002	31_S102_L002	32_S103_L002	33_S104_L002	34_S105_L002	35_S106_L002	36_S107_L002	37_S108_L002	38_S109_L002	39_S110_L002	4_S75_L002	40_S111_L002	41_S112_L002	42_S113_L002	43_S114_L002	44_S115_L002	45_S116_L002	46_S117_L002	47_S118_L002	48_S119_L002	49_S120_L002	5_S76_L002	50_S121_L002	51_S122_L002	52_S123_L002	53_S124_L002	6_S77_L002	7_S78_L002	8_S79_L002	9_S80_L002
ASV_61	0	61	178	1345	1117	700	938	3072	362	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	119	0	0	237	156	235	94	0	0	0	0	0	0	0	0	0	0	14	0	23	0	47	80	0	0	0	0	81	58	297	329	238	99	0	0	0	0	0	0	0	0	0	0
ASV_62	0	0	0	0	0	1371	4420	2549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	83	220	234	83	70	0	42	73	0	0	0	0	0	0	0	0	0
ASV_63	0	201	262	3784	4192	0	0	0	0	0	0	0	0	0	54	101	0	6	0	7	38	145	114	57	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	48	5	0	68	185	0	37	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV_64	291	759	2556	324	574	0	21	305	45	290	471	356	99	336	278	909	0	21	13	187	24	34	41	0	0	0	0	46	0	88	5	0	0	54	51	41	73	34	0	29	50	0	78	136	139	130	0	0	43	64	0	0	0	0	0	67	21	219	10	0	0	0	6	0	0	24	0	0	0
ASV_65	0	403	958	2715	3471	55	71	286	0	0	0	0	0	0	174	58	0	0	0	60	35	49	49	49	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	39	73	85	67	22	51	132	0	39	0	0	0	0	54	35	0	0	0	0	0	0	93	0	0	0	0	0
ASV_66	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	385	2576	0	4593	410	163	157	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	125	248	1741	1396	726	420	1529	158	0	0	0	0	0	57	82	0	0	0	0	0	7	13	24	0	0	103	0	0	110	39	22	26	0	0	0	0	0	0	0	0	0	96	120	143	66	0	73	142	0	49	35	0	49	0	427	506	418	33	0	0	0	0	0	0	0	0	0	0
ASV_68	876	203	114	5	0	0	0	0	0	779	2418	1707	473	1216	17	51	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	52	78	75	76	142	17	80	156	61	0	0	0	9	0	0	0	78	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	97	34	40	0
ASV_69	0	0	0	15	0	1263	3284	3119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	437	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	91	129	119	131	0	0	64	11	0	37	0	0	0	0	0	0	0
ASV_70	806	0	0	0	0	0	0	0	0	338	1986	1496	1128	1680	0	0	14	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	39	74	133	127	175	6	79	144	40	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	87	51	75	0
ASV_71	22	0	0	0	0	1820	3766	1798	0	28	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	32	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	65	99	249	303	72	6	0	28	0	0	40	0	0	0	0	0	0	0
ASV_72	1368	0	0	0	0	0	0	0	0	1067	1681	3117	240	403	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	80	67	73	0	53	0	0	44	86	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0
ASV_73	0	1473	2593	1307	843	0	0	60	0	22	44	42	0	0	337	1129	0	23	33	96	0	0	20	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	52	77	61	0	36	28	0	0	0	0	0	0	0	0	0	0	10	0	35	0	0	0	0	0	0	0
ASV_74	562	11	34	0	0	0	0	0	0	360	1804	1719	768	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	73	77	71	51	161	0	83	157	75	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	42	85	0	0	0	0	105	58	81	0
ASV_75	0	0	17	0	18	1666	3556	1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	312	0	45	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	126	183	108	32	0	0	53	0	0	42	0	0	0	0	0	0	0
