""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_72"	0	30	16	196	22	76	72	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	31	71	107	17	81	116	0	0	0	0	0	0	25	0	24	0	0	0	42	22	33	0	0	0	0	0
"ASV_73"	0	0	0	0	0	0	0	0	0	0	90	0	0	271	40	0	0	0	0	0	0	0	0	0	0	0	0	4	26	0	0	0	12	0	21	0	0	0	0	230	121	203	27	0	0	0	0	0	0	0	0	0	0
"ASV_74"	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	83	220	234	83	70	0	42	73	0	0	0	0	0	0	0	0	0
"ASV_75"	0	0	0	0	0	0	0	0	9	10	154	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	81	189	370	43	0	0	27	0	0	46	0	0	0	0	0	0	0
"ASV_76"	0	0	0	0	0	0	0	0	0	0	117	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	81	91	123	167	161	109	43	0	0	0	0	0	0	0	0	0	0
"ASV_77"	0	0	0	0	0	0	0	0	17	14	312	0	45	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	126	183	108	32	0	0	53	0	0	42	0	0	0	0	0	0	0
"ASV_78"	0	0	16	15	0	0	0	7	25	0	48	7	0	37	83	36	30	0	0	0	17	0	0	0	0	0	23	45	53	33	0	28	59	0	0	0	0	85	0	71	158	64	45	0	0	0	0	0	0	0	0	0	0
"ASV_79"	0	0	0	0	0	0	0	0	0	0	0	0	0	82	205	196	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0
"ASV_80"	0	31	56	137	34	63	31	63	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	68	117	96	8	42	83	0	21	0	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	12
"ASV_81"	0	0	0	0	0	0	0	0	283	260	0	0	0	23	261	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
