"crrelRR"	"crrelerr_R"	"crrelSig_adjust_R"	"crrelICl_R"	"crrelICu_R"
"ASV_401"	0	0	0	0	0
"ASV_402"	-0.797576370575742	2.22683430453832	-193.199610700875	-3.02441067511406	1.42925793396258
"ASV_403"	-1.24477468606623	5.55672537204248	-3023.75590986903	-6.80150005810871	4.31195068597626
"ASV_404"	0	0	0	0	0
"ASV_405"	0	0	0	0	0
"ASV_406"	0	0	0	0	0
"ASV_407"	-0.304890590834278	2.2335032842551	-228.956624107859	-2.53839387508938	1.92861269342082
"ASV_408"	0	0	0	0	0
"ASV_409"	0	0	0	0	0
"ASV_410"	0.851177936062472	5.64111856453554	-3918.74397502409	-4.78994062847307	6.49229650059801
"ASV_411"	-19.9554193253296	2.01113107151329	1	-21.9665503968429	-17.9442882538163
"ASV_412"	-0.482908533371621	2.20305259467443	-213.874685080451	-2.68596112804605	1.72014406130281
"ASV_413"	-19.9393631135456	1.29237945884165	1	-21.2317425723872	-18.6469836547039
"ASV_414"	0	0	0	0	0
"ASV_415"	0	0	0	0	0
"ASV_416"	-1.98112277788051	5.21828342688686	-1639.16295718072	-7.19940620476736	3.23716064900635
"ASV_417"	-3.29216080501971	5.06108479711888	-924.58603963019	-8.35324560213859	1.76892399209917
"ASV_418"	0	0	0	0	0
"ASV_419"	0	0	0	0	0
"ASV_420"	0	0	0	0	0
"ASV_421"	-20.9257911296268	0.668946165683714	1	-21.5947372953106	-20.2568449639431
