Combined_Sample1	Combined_Sample15	Combined_Sample13	Combined_Sample40	Combined_Sample41	Combined_Sample42	Combined_Sample48	Combined_Sample24	Combined_Sample3	Combined_Sample6	Combined_Sample32	Combined_Sample7	Combined_Sample8	Combined_Sample9	Combined_Sample10
404	0	0	0	0	0	0	0	312	365	387	113	340	0	0
0	0	0	0	28	0	23	1282	0	0	0	0	0	0	0
442	60	0	0	0	0	10	0	372	324	367	44	149	0	30
0	264	0	5	0	0	0	0	0	0	0	0	0	125	1076
245	0	0	0	0	0	0	0	180	555	415	138	379	0	0
0	614	0	0	0	0	0	29	0	0	0	0	0	732	532
0	444	0	57	0	0	0	0	0	0	0	0	0	126	567
0	0	47	166	419	655	431	0	0	0	0	0	0	0	26
179	205	0	31	0	0	0	0	124	268	242	156	445	59	78
0	291	159	272	47	0	0	0	0	0	0	0	0	136	175
233	0	0	0	0	0	0	0	167	310	563	57	512	0	0
125	0	0	0	0	0	0	0	58	559	393	282	490	0	0
0	0	0	0	336	152	155	57	0	0	0	0	0	139	340
0	71	0	19	0	0	0	0	0	0	0	0	0	45	1854
98	0	0	0	0	0	0	0	0	482	520	336	548	0	0
0	59	940	749	0	0	0	0	0	0	0	0	0	21	69
0	0	0	0	720	786	352	0	0	0	0	0	0	0	0
0	0	0	0	534	969	304	0	0	0	0	0	0	0	0
612	0	0	0	0	0	0	0	473	198	299	64	132	0	0
58	262	357	121	0	0	8	0	72	135	100	37	90	102	9
0	159	0	0	0	0	16	175	0	0	0	0	0	107	940
0	77	124	241	5	5	504	151	0	0	8	0	0	62	106
144	0	0	0	0	0	0	0	60	724	438	132	254	0	0
0	0	99	0	821	576	305	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	141	269	126	125	0	551	65	37	0	0	0	0	65	0
0	220	568	408	0	0	25	0	66	0	0	0	0	78	33
24	357	52	36	0	0	0	0	27	0	0	0	0	459	442
116	0	0	0	0	0	0	0	105	365	363	274	513	0	0
69	0	0	0	2	0	0	0	0	634	483	119	373	0	0
0	58	569	800	0	0	20	0	0	0	0	0	0	25	43
31	64	607	312	0	0	0	0	0	179	204	0	191	54	0
0	289	342	231	0	0	0	0	0	0	0	0	0	235	295
114	401	67	105	0	0	0	0	20	198	132	24	96	167	58
109	0	0	0	0	0	0	0	68	643	379	133	322	0	0
0	0	0	0	459	189	192	66	0	0	0	0	0	63	166
0	0	286	189	551	449	326	0	0	0	0	0	0	0	0
276	40	27	0	0	0	0	0	201	409	409	109	200	23	0
0	326	0	0	0	0	0	0	0	0	0	0	0	272	671
238	0	0	0	0	0	0	0	177	444	344	160	332	0	0
0	0	156	215	503	289	274	0	0	0	0	0	0	0	0
228	26	0	0	0	0	0	0	152	350	326	78	337	47	7
337	0	0	0	0	0	0	0	318	194	566	37	135	0	0
103	568	0	0	0	0	56	0	136	38	52	0	18	31	255
0	0	0	0	0	0	5	721	28	0	0	0	0	184	0
128	231	625	163	0	0	0	0	109	0	0	0	0	163	79
0	0	73	23	594	659	117	0	0	0	0	0	0	0	0
0	91	394	401	0	70	151	0	0	0	0	0	0	82	89
0	192	131	590	0	0	0	0	0	0	0	0	0	90	215
239	66	50	34	0	0	0	0	305	282	474	0	123	23	42
273	110	37	36	0	0	0	0	435	194	173	6	138	15	43
425	48	80	115	0	0	0	0	239	251	240	0	178	40	36
0	223	0	0	0	0	0	0	0	0	0	0	0	142	690
4	257	108	142	0	0	0	0	2	0	0	0	0	212	296
0	0	1053	643	0	0	0	0	0	0	0	0	0	0	0
0	421	11	0	0	0	0	0	8	0	0	0	0	153	419
0	332	25	0	0	0	0	0	0	0	0	0	0	107	806
464	0	0	0	0	0	0	0	1046	7	0	0	57	22	0
155	0	0	0	0	0	0	0	129	382	441	109	263	0	0
0	398	30	135	0	0	0	0	0	0	0	0	0	176	162
0	159	259	181	0	0	0	0	0	262	178	75	60	94	0
0	0	154	83	379	603	254	0	0	0	0	0	0	0	0
0	241	0	0	0	0	0	0	0	0	0	0	0	102	585
0	0	0	0	860	640	50	0	0	0	0	0	0	0	0
146	86	25	51	0	0	0	0	125	257	251	112	183	55	76
168	0	0	0	26	0	0	0	119	489	323	0	431	0	0
0	0	12	0	295	607	486	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	670	395	116	217	0	0
86	168	0	45	796	79	79	0	60	0	0	0	0	48	51
38	0	0	0	0	0	0	0	110	246	335	180	547	0	0
0	0	0	0	0	0	0	0	0	629	522	0	345	0	0
21	385	94	171	0	0	0	0	0	0	18	0	25	193	301
259	0	0	0	0	0	0	0	176	318	292	125	185	0	0
101	60	636	190	0	0	20	0	164	59	44	0	53	0	23
0	0	0	0	130	284	768	41	0	0	0	0	0	0	0
228	85	40	28	0	0	41	0	212	165	132	39	76	31	132
16	272	125	213	0	0	0	0	28	0	0	0	0	90	79
0	343	0	0	0	0	0	0	0	0	0	0	0	84	0
0	245	0	51	0	0	0	0	0	0	0	0	0	147	436
0	0	59	50	487	244	326	24	0	0	0	0	0	0	0
157	0	0	0	0	0	0	0	102	394	494	53	114	0	0
7	0	0	0	0	0	0	0	10	487	969	0	0	0	0
210	0	0	0	0	0	0	0	216	188	267	154	398	0	0
173	0	0	0	0	0	0	0	203	250	269	67	458	0	0
10	80	330	473	28	37	23	0	18	0	0	0	0	118	135
0	238	0	49	0	0	200	62	0	0	0	0	0	146	110
0	75	655	119	63	33	33	0	0	0	0	0	0	27	101
264	0	0	0	0	0	0	0	303	103	189	59	98	85	104
102	61	181	137	0	0	0	0	79	308	242	50	124	19	28
74	0	0	0	0	0	0	0	63	480	406	0	406	0	0
16	316	114	175	0	0	0	0	18	0	0	0	0	145	240
231	0	0	0	0	0	0	0	221	279	296	113	183	0	0
574	0	0	0	0	0	0	0	241	201	121	0	0	0	0
0	446	0	0	0	0	0	0	0	0	0	0	815	0	0
0	398	0	10	204	192	18	0	0	0	0	0	42	72	138
179	0	0	0	0	0	0	0	176	323	452	0	266	0	0
110	0	0	0	0	0	0	0	62	335	383	91	335	0	0
0	133	29	28	0	0	0	0	0	0	0	0	0	146	116
0	0	0	0	0	0	0	0	0	345	283	272	415	0	0
0	0	258	201	328	394	113	0	0	0	0	0	0	0	0
0	258	483	260	0	0	0	0	0	0	0	0	0	43	106
0	73	487	438	0	0	0	0	0	0	0	0	0	53	102
0	105	321	30	92	72	180	52	0	0	0	0	0	39	23
73	113	440	455	0	0	0	0	0	0	69	0	0	43	56
0	0	856	489	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	73	482	356	101	190	0	0
0	354	274	130	0	0	0	0	0	0	0	0	0	70	168
0	133	245	260	4	14	12	0	0	0	0	0	0	91	62
0	0	10	16	0	0	0	17	0	0	0	0	0	238	111
304	0	0	0	0	0	0	0	210	191	364	84	38	0	0
122	102	111	105	0	58	97	0	27	0	0	0	0	87	187
0	211	114	243	0	0	0	0	3	3	11	0	0	116	196
0	82	91	0	233	177	237	0	0	0	0	0	0	77	99
204	0	14	0	0	0	0	0	131	245	278	123	144	0	22
334	144	0	0	0	0	63	0	298	0	187	0	69	0	214
0	56	587	448	0	0	0	0	0	0	0	0	0	34	12
0	32	0	0	0	0	0	82	1057	0	0	0	0	12	47
159	0	0	0	0	0	0	0	92	348	335	65	190	0	0
0	108	429	337	0	0	0	0	0	0	0	0	0	54	81
0	124	0	0	0	0	0	0	0	0	0	0	0	122	391
210	94	0	0	0	0	11	0	125	176	276	89	190	36	68
0	92	0	0	0	0	0	0	0	0	0	0	0	61	506
179	0	0	0	0	0	0	0	150	285	288	73	269	0	0
0	238	284	157	0	0	0	0	0	0	0	0	0	134	82
0	111	453	230	25	0	32	0	0	0	0	0	0	148	56
0	0	173	193	43	77	253	71	0	0	0	0	0	0	0
0	116	145	149	34	37	266	19	0	0	0	0	0	38	23
0	0	0	0	800	358	64	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	94	219	299	0	455	0	0
294	0	0	0	0	0	0	0	242	213	222	0	170	0	0
88	91	316	193	0	0	0	0	85	78	65	0	0	20	33
0	0	0	0	0	0	0	0	0	0	0	1187	0	0	0
227	0	0	0	0	0	0	0	302	222	164	54	162	0	0
0	0	28	0	121	200	572	62	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	190	316	324	0	260	0	0
67	109	210	221	24	45	56	0	27	62	21	0	0	35	88
84	0	0	0	0	0	0	0	56	248	279	51	373	0	0
54	0	0	0	0	0	0	0	16	287	234	123	176	0	0
0	89	0	0	0	0	0	0	0	0	0	0	0	234	234
328	0	0	0	0	0	13	0	490	0	162	48	28	0	0
